PG.ProteinAccessions,NP1_1,NP1_2,NP1_3,NP1_4,NP1_5,NP2_1,NP2_2,NP2_3,NP2_4,NP2_5,NP3_1,NP3_2,NP3_3,NP3_4,NP3_5,NP4_1,NP4_2,NP4_3,NP4_4,NP4_5,NP5_1,NP5_2,NP5_3,NP5_4,NP5_5,NP6_1,NP6_2,NP6_3,NP6_4,NP6_5
P49643,53610.390625,52936.8171659671,53145.2322500199,54183.3401015401,54053.4061207809,39557.1640625,39529.9965531901,39221.1369371377,39825.0775204375,40459.8931318484,32691.28125,31851.3545503579,32709.4820758998,33008.8963911608,33235.1476915851,51848.921875,52845.5299572051,51043.9195274338,51220.1595404148,51385.1264109798,22149.27734375,21251.442161724,21583.0602728389,21750.1677641273,21247.2556511499,133268.328125,133385.040540125,132764.659782749,132366.46683269,133214.092146017
P49662,48122.66796875,48433.6715722568,47875.2451767325,48269.9872488268,48844.3767060637,49394.9765625,49388.6443294175,49545.2850397266,50299.5852927268,49003.7745499574,61905.8359375,62462.7991782278,62387.9664305374,62474.3851681948,61257.0385027453,69155.3203125,69580.0138913542,68613.9591100141,69510.4531987086,70018.6358537972,31210.83984375,31198.2371093705,31511.0180153511,32094.4955967367,31488.5245798156,31341.439453125,31286.0380636379,31042.3696447946,31432.8575592339,31745.4626105577
P49674,13880.3564453125,13175.6689486653,13883.8967223279,13517.678506542,13755.9556158818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49711,200225.171875,200023.49245248,200884.237931367,199239.548958629,199563.281084202,202340.65625,203049.50502583,201902.410848748,202813.261612535,201819.641654596,204171.3125,204613.019181624,203780.253993556,203540.441873692,203892.385099292,158766.59375,159765.857791893,158699.616968066,158082.644100666,158127.102065731,131221.625,130319.104136195,131472.721759457,131038.612779923,131397.553149372,113234.125,112359.867706936,113190.46287103,114170.14152747,112581.83412677
P49720,589205.75,589177.676417202,589160.378135078,589229.159176152,589698.676457431,415119.71875,415265.349292655,414234.082197763,414832.661112763,414204.843562089,594203.5625,593990.397864532,593360.522551972,594073.635043155,595001.796896614,413391.03125,413767.262495697,413835.747327298,413666.142257039,413072.976993505,285363.84375,286097.919421062,285322.252514098,284770.660756413,285452.553077858,290304.9375,290005.9491335,289610.672634054,289465.571826283,289443.90157187
P49721,729059.5,729406.053638577,729669.91990947,729752.666359328,728249.649784554,794270.3125,794122.564731911,795181.275387108,794313.331625238,793592.375347205,833805.625,832973.388143312,833901.894392874,832967.692745812,833248.776589017,833191.6875,833156.499161746,833906.621981308,832827.904555842,832623.607403029,552887.125,552676.599531543,553604.844155829,553452.385207281,553170.869626679,585420.875,585120.009883936,585006.641488221,585633.433626197,586414.931432974
P49736,1271539.625,1272280.90862536,1270908.50133102,1272237.76754716,1272199.83300453,1466324.875,1466601.96546006,1466797.04291706,1467255.75364155,1466709.39281916,1480930.25,1480583.00590215,1481122.72636804,1480336.45931704,1480172.85494253,1465988,1466396.18551788,1465232.25426498,1465534.24119727,1466157.11183111,1001800.25,1001626.81155899,1001766.63083039,1002569.3807175,1002137.40580078,1098250,1098003.60384909,1097300.36843987,1098953.852301,1097808.41953447
P49748,688964.5625,689436.331976775,689523.23895843,688262.312303867,688924.95091363,667834.8125,667573.241480578,667587.299918242,667461.93893994,666835.602567483,733957,734324.111304775,734451.353970513,733689.786558568,734397.507266205,730002.875,730831.308274757,729946.180372726,730980.5417119,729555.204472266,470970.875,470232.602271602,471023.822142627,471527.543734178,471072.53812661,464986.5625,464329.401354063,465012.101204358,464058.853280488,464878.695635349
P49750,175362.53125,175043.104146264,175571.031863458,176032.755922183,175656.349283766,172835.515625,172604.988715768,173767.916650202,173642.02216097,173529.65733052,150096.359375,150216.129090238,150531.54109332,150740.589843664,149442.786477108,145835.9375,146383.039805572,145162.49389993,146383.14667251,146773.526167031,118952.6640625,118758.682869494,119476.962085001,118422.381797459,119658.940009892,128091.6328125,127766.307329044,128166.718237784,128211.962257728,128589.026611049
P49754,32521.349609375,32192.3867156841,31794.2502275221,33513.4489718005,31765.9473796487,33352.1875,32968.7422030978,33194.0674666688,33779.652633369,34050.9615700133,29028.1875,28149.7845469639,29964.2044926658,29778.0821171254,29865.1210518219,32366.078125,32065.7642610967,31820.7537333146,33331.3167189844,31587.9961086102,21371.287109375,21922.556930732,21682.3421260789,21812.1374994963,21940.8612489216,21720.673828125,21330.8325621486,21739.7820951603,21052.4550249986,20959.690092802
P49755,274708.9375,274175.005661651,275476.3998942,274796.995075282,274926.427877836,271890.84375,270943.311495263,271685.071636014,271686.001399554,271039.336316776,281267.46875,281495.34763255,280863.466626488,281970.112561703,281183.307362709,277694.15625,278530.522789355,277854.332075469,278688.022505507,278308.42572033,180520.71875,180823.018683508,180789.957883224,180074.32028364,179677.090011925,212158.25,212625.149754014,211682.143675767,212674.012635972,212939.419866212
P49756,262327.75,261573.009131771,262882.622487672,261997.124584686,262089.152274482,266318.21875,266004.457956232,265583.93910905,266956.652171031,267150.577509828,297037.3125,297560.243374489,298021.83906623,296833.331242956,297111.010310993,284128.3125,285082.442550726,283180.18225468,283692.507522453,283709.32617671,186766.640625,186257.346428968,187617.421205193,187430.111648086,187212.066659741,193540.640625,192554.24622662,193585.612101775,194050.316496115,193920.559091322
P49757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17281.509765625,17293.4812993892,16720.7757311091,16638.4267278165,18001.5631790422,50856.953125,50885.5419620126,50597.2239328735,51383.9599853568,51666.5463340655,79043.4765625,79729.9186880887,79815.8958810568,79792.2300114483,79024.3970779888
P49770,215656.9375,216544.629357759,214909.59006688,215852.357120723,216266.987004321,198591.390625,199058.622652557,197741.134656485,198875.213962406,198513.91278569,253070.296875,253683.11011678,252551.302991606,253804.634605799,253302.535661761,67554.0546875,66885.7077325247,66603.228172522,66812.5612421446,68143.1031224802,165261.921875,165199.912304346,164890.486836255,164954.785387784,164284.68139638,206532.484375,205931.101028401,206512.525605097,205728.220048886,205555.379064813
P49773,1045947.625,1046342.53100815,1046920.40168584,1046940.90371064,1046511.55044787,706322,706641.613151718,706863.863780934,706817.951955207,705587.458744951,683034.125,683712.473923102,683024.971928675,682821.068619605,682214.253346663,696440.4375,695963.141386963,697160.06433741,697085.575386982,696617.60464507,498052.75,498085.891674008,497342.075128775,499039.548443366,498156.033587843,505665.59375,505917.235231649,505124.460350413,505863.743628997,506014.928911503
P49790,170972.609375,170614.055549122,170171.57184412,171301.190544713,171408.224197432,171894.03125,171291.361275677,172097.759481136,172013.3604315,171351.538390934,193952.203125,194288.044192135,194793.563358258,193729.756612103,194194.185646955,186932.921875,186947.402679559,187628.630279295,186288.932637043,187884.231882833,134102.484375,133285.333271831,133631.333921798,134054.383354954,134970.211444184,135995.625,136268.24331332,136985.603204016,136959.793678969,136271.494218633
P49792,301273.8125,300404.993368484,300397.733161863,302174.736261073,302043.84646349,293200,292326.682308502,294074.79343405,293881.089342572,293752.196627017,298492.90625,297582.455358874,298950.962704547,298544.990059394,298807.840747233,308944.59375,309134.438335024,308937.228502765,309362.436826866,308241.087805074,203331.03125,202734.20358419,202932.127024211,202958.252218716,204217.521773349,204258.046875,205041.822392251,204685.098818727,204757.776937671,204252.742419709
P49795,11097.37109375,10662.9979985841,10206.1682625748,11302.9404220246,12067.0432227738,8368.2548828125,8072.92530552298,8093.5648182109,8913.84825163335,7940.77085151151,NA,NA,NA,NA,NA,49120.07421875,49355.7989975959,48714.1278294437,49441.3393211141,48481.6902779564,22182.65234375,21538.9258356169,22452.3108319715,21287.4989786521,21717.4391222522,5613.982421875,5844.65399297699,5266.88051369786,5036.78300284594,6525.07880243286
P49815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49821,285536.46875,284585.379824176,285603.241035849,284940.804706555,285194.697475661,296518.40625,297288.950601079,296990.075565826,295777.363952667,296030.96060124,321298.71875,320944.081882469,321419.428880315,322282.082026813,320709.161994502,323763.5625,322993.860394217,322806.899446517,324334.547559254,323919.537826896,212527.3125,211602.819400437,212372.982617531,212599.466310877,211941.814068768,219044.9375,219207.762334697,219996.314294837,218846.656552717,220014.07002864
P49840,100085.25,100589.275219008,100976.124890611,100464.98734038,99679.7647019811,83061.546875,82539.0771080963,82109.6783590727,83427.7588085495,83928.8178904206,109531.28125,109753.830223747,108838.656058006,109166.064525425,109228.7471033,110816.90625,111762.554779567,110013.447751209,111616.95793356,110213.280634873,70363.84375,70943.824719429,70128.6746545471,70927.579375241,71030.2999497168,78527.703125,79056.4953637943,78187.7395752519,77623.92929985,79496.907906577
P49841,150320.21875,151172.181741059,149882.513746344,150812.746708006,150856.016075429,140390.1875,140330.741583791,140163.873008873,139846.073058389,139762.814646542,72930.7265625,73536.2044790424,72761.1462607644,72535.28375585,73458.7558585815,91580.265625,91687.4743649662,91948.1125772856,92124.6753252037,91388.3535024635,82292.765625,81662.1470355354,83093.6275731698,82997.2505194061,82837.3193090707,27463.560546875,28112.1759741902,28325.0342785716,27720.4506701194,28243.9469402991
P49848,35863.16015625,36790.2492942065,34876.0436671562,35950.1236263439,36014.2422458865,30931.17578125,30563.0327396318,31734.3204355091,30601.8490151726,31550.4696618989,36293.95703125,36681.2589461096,35502.4849729724,36465.6545542292,35984.8756817281,35973.1484375,36368.4672832526,36185.4258508459,36965.8903254233,36190.2399256863,21889.8359375,22188.4406526498,22276.0964618921,20948.9503289498,22259.0220268741,28107.599609375,27549.2641728669,27716.2065262273,27675.149459701,27670.4800574407
P49888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49902,177749.453125,177145.374713875,177224.449493866,178434.749775976,178724.30683108,177427.0625,176853.327083599,177862.107875023,177701.171663322,177873.245437361,178940.890625,179786.526084758,179050.950648144,179597.058473501,179154.748256665,185884.609375,185873.231616654,186211.682031248,185964.750082083,185415.553325638,121773.3359375,121832.482447006,120994.960142855,121086.591613568,121254.666142255,145000.78125,144606.812777743,145808.829639386,144221.351418458,144693.282506708
P49903,408420.75,408751.653814174,408097.440784749,407666.955794625,408347.139157306,429869,429088.964805059,430184.491945017,430234.54524675,430728.519059304,406973.4375,407124.368034117,407534.31877289,405996.116704587,406938.433325198,425843.9375,426452.486875553,424875.737236898,425962.876647331,426507.846546445,293742.75,293438.630135521,293284.223106015,293051.098164428,292855.616020296,287733.40625,286939.748015355,288731.587405417,287468.095439121,288537.210334659
P49913,551862.75,552261.889132351,551712.168104626,552042.820739705,551800.011776533,570638.9375,570491.28699505,569944.085253097,571237.186137281,569739.539278831,485939.15625,486599.263846777,486096.949392833,486551.494596895,486009.438450817,505029.375,504641.451221965,504499.257111996,505283.828400616,505929.585066698,350323.6875,350506.378133927,351053.390022513,350103.837977774,350287.077769782,408113.25,408180.325971514,407513.163929868,408402.026596542,408331.755698722
P49914,112608.609375,113154.777866244,112326.922294606,113534.65568313,112104.547299366,131911.421875,132607.27919079,131659.099291541,131993.122785348,130968.243508596,89869.96875,89557.9386190027,90761.7848929465,89520.4633557685,90611.3202766962,84531.5,84839.8161539398,84791.8071779013,84783.0085129999,83780.7609038018,64801.24609375,64690.2237484939,65466.8035192192,64014.4921268113,65527.6963065155,37577.8203125,38368.7540942691,37449.2612255625,37715.1794529408,37874.1113490313
P49915,655167.8125,655115.341164954,654183.475171532,654197.171164528,654491.018286757,688863.4375,689629.418007713,688627.96217218,689184.267379027,689038.686202988,893414,892591.953142673,892943.788060579,894168.286809359,894276.509312574,879995.25,879483.736972637,879011.437575646,880204.211460739,880694.824128259,554379.625,554988.880879652,554531.884697206,554506.412279733,555022.16641273,574590,574635.903506223,575389.299277831,574589.961367808,575148.470873162
P49916,214218.90625,215107.20783487,214908.207648117,214122.646229025,213528.81206587,219866.890625,219735.412340049,220442.118865341,219827.876058776,220066.075171713,214724.703125,213751.94549169,214717.228392415,214199.444613695,215281.994709555,215458.296875,216061.813384291,215320.598282848,215837.349640202,214882.554179519,139662.96875,139437.694664467,139205.923607927,140465.513095614,138981.578754615,153632.65625,152756.970183309,153939.294267762,154273.743546419,154005.178070478
P49917,176734.515625,176077.639168076,176531.178357959,176241.67640828,176272.54555928,178851.609375,178548.572019346,178669.695653625,178414.374758162,179355.366264142,195336.171875,196139.148644861,196215.126664136,195483.885669373,195809.250717741,193206.0625,192233.563262604,193455.967652712,192658.247491445,194136.812248368,128130.9453125,128540.612826299,127987.560522918,128240.097141534,128957.402329601,135004.921875,135544.710588213,135009.451058265,135643.020016178,134981.134560928
P49959,363806,364651.826156437,363136.154445488,362883.145051677,364610.450273048,354229.34375,354944.126020137,353427.493164733,353608.048163772,353919.286014929,390717.25,390637.346298214,390146.953409318,391454.380040303,391180.712901767,375756.1875,375981.200188432,376358.394778833,375183.009769335,376564.567981787,253828.375,254736.361633945,254803.410102107,253136.69735096,254613.79312906,247485.0625,248107.422966048,246637.184978932,248178.635168824,247317.731854044
P49961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50148,205106.921875,205159.122847568,204919.642288785,204877.073385369,204835.001481313,212568.4375,213466.688947361,212862.138676066,212225.20565249,213257.129079271,214635.71875,214037.207781967,214978.058230761,214426.557960618,214738.006533287,207706.828125,208123.134937782,207788.956454668,207927.529212266,207415.491230965,146422.671875,146695.315518431,145707.017518595,146419.658799671,146397.240176812,125629.15625,126359.584845096,126166.493183427,125756.09814325,125522.798600566
P50213,355742.375,355730.068110481,355950.638305016,355349.434784234,355216.684631158,372018.9375,372340.242415007,372093.012641456,371508.483542867,371528.52049078,367264.71875,367993.950987209,368202.648570735,367517.457158744,367746.465573061,376939.875,377672.268681537,376666.110121023,377144.042459626,377684.990012862,254518.71875,254618.469605938,254449.350716796,253572.921905916,254395.129237574,260723.265625,259955.023828357,260901.210122205,261657.221980788,261479.043646179
P50225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50238,89957.234375,90921.3218212202,90542.7370558567,90370.8742524572,90630.9307923615,81938.6171875,81569.7860950083,81166.5690182187,81428.9446095414,81280.2428421043,92886.1875,93055.9044784456,92514.6520996056,93632.393088337,92193.1639818065,92207.9453125,91820.8645932712,91287.7807204016,91472.1967975013,91619.0435026176,53339.77734375,54071.021164611,52720.2287263535,52870.1324708126,52652.3114706688,33087.33203125,34014.8458224982,33298.8153747544,32682.6538280845,32218.706002485
P50336,50313.99609375,49933.9580023028,50449.758537516,51302.4710821286,49842.097083509,46602.4140625,46094.2709052674,47219.9145995751,46127.5415497571,46673.1816486195,47025.61328125,46482.4555081576,47535.9705326408,46567.4374134541,47087.7101438381,49633.1875,49030.9020012468,50398.0358882658,50523.125931792,49072.0814957134,33394.2109375,33378.6237948313,34215.0459448546,32834.3529315405,34338.8725096099,31621.181640625,31419.3557452783,31090.0823742524,32473.3972822689,31475.7504498959
P50395,254898.4375,254204.714034684,255758.558115922,255820.787249599,254104.687769432,262251.3125,261409.709007613,262008.432158869,261801.980253909,262763.599267364,242658.734375,243004.340167943,243509.599177953,243515.153440036,243587.76142294,232991.4375,232674.928917672,232747.18311907,232250.518913969,232567.049151875,118100.71875,117389.699887332,117558.63716764,118187.045671824,118599.50626114,91250.46875,91444.1099832579,90866.9833354466,92099.8065452836,90406.3455746323
P50402,293331.0625,292754.131646462,293717.367504824,292686.533417653,292635.921560794,309182.6875,308395.066226341,309274.013948135,308670.667111382,309786.512942027,304363.84375,305361.352332659,303748.465932231,305354.500969663,303622.971420899,312026.40625,311130.894260518,311841.127964705,312004.973814394,311483.66241347,219317.6875,218762.5981846,220261.39419499,218750.272122875,219881.335731793,212898.71875,213536.443046656,212928.444379836,213474.450861,213855.679654878
P50416,763143.875,763464.615123279,763791.931072649,762526.709635209,763793.746270638,647768.875,648634.611152045,648229.337131072,648526.398568813,648541.870678242,626878.25,626848.015723683,627687.061310679,626187.635963716,627671.293344747,646735.75,645946.391422309,647721.207397997,646145.047405742,646706.20901278,408186.65625,407707.122419808,407730.146455426,407486.272245958,407198.324708115,422064.46875,422441.654626481,421408.626784772,421179.368296839,421323.624867681
P50440,57363.18359375,57017.4016802572,57864.0747586265,56781.533744093,57437.0461333543,62868.4609375,62302.4505107701,63351.1280623302,62330.1712354682,63011.3541130945,112144.0625,111995.10758372,111562.068884745,112113.872992359,112508.021169826,113666.5234375,114469.993616473,113476.059507597,113275.592699666,112761.817735173,82257.1796875,82202.5321812853,81956.2567642443,82442.1054173745,81282.1896837577,87003.484375,86166.9351637065,86062.089005176,86873.6236353107,86284.2412229329
P50452,107530.53125,107381.434003882,106558.153908759,108210.551291298,108135.507744331,109185.90625,109083.147287339,108900.33405504,108341.688869026,108293.376791727,95725.890625,96512.2610886693,96359.769338008,96035.7214335464,96648.5493282899,95099.78125,94484.2279119194,94211.5424600206,94763.3418481573,95231.4544668198,62588.8671875,63083.9798673987,62830.1763217896,62372.3161984235,62710.7146177441,61566.140625,61698.3669934124,61142.5933598801,62180.4238579497,60773.7366955988
P50453,537062.6875,537172.029086009,537375.190784775,536829.577516384,536131.634583317,551700.25,551247.134702984,552529.868544318,551301.362485863,551776.514460571,569851.1875,570679.388780907,569172.607686665,569059.698886998,569258.096529931,563903.5625,563314.356652413,563968.404100601,563657.049498379,563521.867377542,396058.71875,395172.670638401,396402.137601029,395234.551874667,395182.477194563,389974.71875,389763.31697033,389130.305543087,389577.786531776,389198.952158924
P50454,149802.125,150791.746206187,149260.524964496,150021.956509981,148967.207166903,117942.1484375,117915.074301194,118400.266834777,118538.046553042,118239.503253959,126077.453125,125264.152802724,126822.999337886,126564.512293052,126237.581611808,125467.546875,125480.415022343,125499.100838665,126064.061744481,124727.45203913,78669.765625,78689.9893636256,77807.2984096035,78536.8901810981,77780.4014187679,81469.1953125,80854.1335586049,80900.8218968809,81879.7730837539,81798.6670384705
P50502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31493.236328125,31638.6193978824,30789.4053502232,31027.113674324,31660.2111865059,33212.1953125,34018.2556387857,32652.8230047673,33689.5143695995,32448.4848188125
P50542,NA,NA,NA,NA,NA,90760.6875,91671.2156443335,91096.259008389,89868.4293825589,91191.6967679225,77558.6640625,76900.031001281,77191.9640321024,78297.0226201899,77283.8718523011,91771.1640625,92491.8383905403,92625.4076236598,91313.8827207237,91196.6501884833,59840.30859375,60211.4405703507,58864.463744849,60745.1630189791,59782.2101355307,NA,NA,NA,NA,NA
P50548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50552,87428.453125,86599.0119506009,86833.52033462,86493.396726843,88336.6594011299,90458.25,90577.2325539477,90785.4988792427,90337.8701678924,89706.3020834215,82691.6484375,82978.1354538612,81985.6811103858,83071.5512413047,81727.22449838,84704.28125,84785.3797767162,84073.1765162051,85578.3013263568,85227.1812581308,50964.1796875,51704.3182736449,51765.8507705852,50370.2667391114,51532.3164382204,52011.2734375,52285.8672187142,51474.8170285895,51768.3670705594,51272.8375725858
P50570,287654.5,288158.76412141,287897.60947163,287283.250587348,288500.986764029,292309,291689.443484057,292034.004146341,292194.453561787,291771.760683615,291779.40625,292638.579307601,291753.505476762,290781.210431375,291096.033700287,297844.28125,297839.938148711,298331.781712681,298383.660142165,298535.359592963,197903.96875,198274.050951902,197629.808988389,197662.034941804,198062.985806692,195659.875,195169.881961413,195779.692627128,195346.476750553,195984.045889333
P50579,454674.90625,455199.06197945,455602.18841853,454976.28982915,453945.907274637,439052.3125,439137.859599356,439664.245216332,438162.823773611,438445.09898654,464646.5625,464929.038349614,464896.65688023,464356.472673435,465521.738729514,468749.9375,469469.250331294,469730.8940912,468735.459747385,469341.034727763,326262.5,326417.576638795,327259.108928312,325521.90095773,325361.934157833,336545.96875,337011.029847406,335996.507293519,337089.619810667,337182.880796466
P50583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50748,91990,91972.9929703847,92528.4307140484,91920.8218429796,92259.6494953707,87172.84375,87945.9375179298,87964.6330172122,86614.4924204722,87399.0617998801,138980.546875,139961.265331209,138683.486330397,138443.920400999,139864.296676666,113646.84375,113771.375614189,112650.470298685,113122.811140928,113179.869781684,66674.6953125,65700.1829161197,67629.4864271656,65917.8627454564,66810.5366560519,54869.51953125,55648.7884865962,54178.7087852024,55759.0307462849,55738.3416066766
P50749,53927.078125,54169.2679710016,52931.9401317537,53708.4586740732,53620.4281863086,63268.78515625,62986.5124760531,62867.6694868468,62845.2369663268,62705.4135170169,48214.15625,48542.2339774631,48113.411120601,47305.2222267687,47505.4683908783,37836.84765625,37545.8035136871,37130.3642860912,37226.9732023887,37958.3559202328,31821.318359375,32519.0738684312,32169.3656973355,30929.6328884363,32449.5211013407,35455.7890625,35852.4322978482,36109.6953482628,35391.5130056702,35567.7033847459
P50750,182747.375,183353.42376373,182449.904288363,182498.141854733,182957.388302043,171858.71875,172300.508614562,172527.840715766,172277.604283698,172278.740558241,201000.15625,201705.893653128,201429.186334517,200116.489991229,200151.486881226,197192.0625,196692.092182182,198039.099670548,197945.513065506,196262.569881577,131470.8125,130814.998990402,131257.392826501,130507.871887658,131769.668262929,133114.84375,133258.828864992,134046.997654811,133526.137437765,133771.358253062
P50851,56220.33203125,55277.1378034912,55479.0391056985,56551.7080348171,56992.9799289629,70543.21875,70363.6172734722,70148.1585022584,70564.6156388856,70908.0491866507,61059.55859375,61147.9442320652,60253.373121459,61165.2564761117,61355.2499879971,49653.51953125,49656.405707825,48808.5777605921,49725.4190705754,50441.540053118,37784.6640625,37051.0472969115,37899.8864960819,38379.7259719074,38456.457142435,33999.41796875,34104.0779726617,34164.2109008543,33206.3982260451,33122.1981464922
P50897,287291.1875,286491.896353081,287192.141766544,286856.661984116,287491.989916075,305232.5625,305780.449440651,304876.359126013,305964.665385842,304771.341837425,270040.84375,269441.698728245,269389.081434928,270000.524181522,269659.313772455,286741.625,287484.259777911,287364.393287081,285925.934483971,287698.809595056,224764.453125,225002.35691648,224181.189037208,224071.649523731,224898.940043803,221472.5,220738.373525292,220503.289387412,221169.811274242,222104.49974224
P50914,495527.0625,494732.994688779,495913.755497999,495094.767703779,495682.76215262,444091.59375,444776.016540539,444387.055071715,443397.974214695,444717.301936068,522642.53125,522245.622061521,521870.767387889,522231.37361915,523040.280591559,526985.375,526684.744611684,526327.695024967,527651.29302286,526401.29903315,329080.5625,329336.73734143,329620.851373017,329263.290086944,329460.824417133,367746.0625,367260.634482436,368187.622837786,366859.332966216,367097.646362212
P50990,1342073.875,1341216.45483817,1341368.4051109,1341600.57611042,1342355.4331304,1349530.375,1349289.24993091,1350470.09752915,1349060.80123634,1348985.24836023,1484185.375,1484017.58685347,1484915.21489306,1484981.79000395,1485023.08262337,1448118,1448253.17942326,1447227.89703005,1448968.91944644,1447284.49716394,968189.5625,968079.464153863,967231.002499361,967489.864557061,969181.75980543,948171.375,948017.91999311,947872.749963857,947258.501646657,948296.830232337
P50991,1495895,1495652.7091069,1496842.03584304,1494907.65597949,1495609.058707,1530461.5,1529888.37693937,1529651.79272022,1531428.03863881,1530382.42757113,1636194.25,1636646.33813017,1636029.69738311,1636677.96423688,1636962.91953354,1590283,1590313.54683609,1591051.54365878,1589544.94041688,1590880.62135101,1022676.125,1023445.03260148,1022383.93983268,1022709.14165932,1023059.87207988,1090780.5,1091355.03156775,1090682.46687356,1090754.01458017,1090648.82144577
P50995,475543.3125,474969.036051307,475014.141815018,475649.014923025,476252.834507965,455497.0625,455127.26930612,455332.673478771,456099.893723514,456319.13889562,461177.21875,461304.124743558,460377.056487717,461168.328314435,460561.918846212,468686.65625,469158.515147712,468076.828437239,467782.350200541,467799.303744767,283327.6875,282788.456811525,282688.601619985,283609.971587967,283359.311141029,380603,380517.067522157,379755.000673581,380194.436692048,380836.448659535
P51003,136950.34375,136270.093122546,136276.595477529,136039.517826915,137156.613182325,144383.125,144433.579184413,144668.527453505,143974.934457168,144074.711139612,162380.515625,162461.9168716,161817.906992741,163137.583975911,161416.050524682,160459.515625,160936.305105541,159806.391674414,160654.882137053,160636.853420496,110274.1953125,110054.11689214,110008.446383268,111009.601505451,110091.597157042,115039.5078125,115647.058946691,116002.949241228,114217.985274881,114319.465676934
P51114,298920.875,299319.888360497,298036.789346185,298205.821911503,298672.816539347,243588.875,243671.22130432,243272.981570669,244379.18241984,243355.619080465,322549.71875,323066.717962094,322276.582406193,321570.605356537,322827.471962024,312698,312622.383781385,312183.185110476,312842.468872342,313085.019186281,206610.375,206528.201030869,206138.044633739,206610.352990985,206904.496564832,177547.4375,177713.363920595,177877.707666509,177612.587356266,176820.722114552
P51116,47045.54296875,46708.1981364973,47284.2224373817,46578.8075587116,46513.4122905657,45218.98828125,44719.8580461964,45091.0421642885,45260.0310459211,45062.4806462266,53145.8984375,54142.0132568106,52306.3204185106,53565.4244957492,52994.6635364555,55571.27734375,55327.5587047338,55614.8954947367,56204.8059809841,55850.2529469207,39159.93359375,39989.3367492333,38758.5260823108,39250.7480831556,38704.2901405804,26835.533203125,26235.2289022282,26455.3548833691,26691.0863491111,27733.6399662644
P51148,371895.09375,372259.857304186,372430.68501053,372316.23003611,372528.560173023,387996.0625,388300.848680146,388901.243721198,387392.207070317,387145.509966247,387714.59375,386782.896147616,387834.995805327,387992.38411155,386768.617764622,398493.28125,397820.340634435,398923.949017301,397735.998026673,398627.208453715,292472.4375,292571.515053954,292138.493223093,293315.237541661,292769.696732961,233706.421875,232808.688904695,233705.943073682,234120.798088681,234303.198155086
P51149,1136969.125,1137054.71351248,1135993.25052806,1137399.18584021,1137290.2749732,1112106.125,1111313.18326161,1111889.9580511,1112705.77525401,1112927.43801519,1222236.75,1222597.24374472,1221284.25665789,1221903.06363146,1222615.91254904,1187762.375,1188200.98527155,1187145.86658596,1187218.5248384,1188209.96930038,849117.75,849171.941405885,849563.454279933,849448.514957238,848805.52469499,819615.625,819784.184152633,819285.904739425,819131.878710724,819152.314059809
P51151,92912.7265625,93423.0873766653,93096.1768995337,92563.3688536771,93478.3495399468,61158.2734375,60273.0067847036,61242.3438140862,60383.7237851433,61177.4339861907,100789.203125,101198.431564908,101500.494276587,100824.710411433,100724.406568747,57972.484375,58556.4520886391,58499.0589861982,58908.6916745864,58548.6930102333,72961.46875,72469.7501718476,72892.740061827,72316.2085351944,73615.150008671,64556.95703125,63871.7854955457,65145.570729509,65157.8664869294,63573.5576251745
